API,Count
chrome.management.onDisabled, 41
chrome.history.deleteUrl, 41
chrome.extension.inIncognitoContext, 41
chrome.tabs.highlight, 40
chrome.browsingData.remove, 39
chrome.alarms.getAll, 39
chrome.idle.setDetectionInterval, 36
chrome.extension.onMessageExternal, 35
chrome.alarms.get, 35
chrome.webRequest.handlerBehaviorChanged, 34
chrome.history.onVisited, 34
chrome.bookmarks.onMoved, 34
chrome.extension.isAllowedIncognitoAccess, 31
chrome.identity.getProfileUserInfo, 30
chrome.tts.stop, 28
chrome.bookmarks.getRecent, 28
chrome.webNavigation.onReferenceFragmentUpdated, 27
chrome.tabs.detectLanguage, 25
chrome.proxy.onProxyError, 25
chrome.commands.getAll, 25
chrome.tabs.hasOwnProperty, 23
chrome.tabs.cr_tabs_TabSelectionChanged_listeners_added, 23
chrome.tabs.cr_tabs_TabCreated_listeners_added, 23
chrome.tabs.cr_tabs_TabClosed_listeners_added, 23
chrome.identity.getRedirectURL, 22
chrome.bookmarks.onChildrenReordered, 22
chrome.pageCapture.saveAsMHTML, 21
chrome.extension.isAllowedFileSchemeAccess, 21
chrome.downloads.cancel, 21
chrome.devtools.network, 21
chrome.bookmarks.onImportEnded, 21
chrome.notifications.getPermissionLevel, 20
chrome.downloads.onCreated, 20
chrome.downloads.erase, 20
chrome.desktopCapture.cancelChooseDesktopMedia, 20
chrome.tts.getVoices, 19
chrome.sessions.restore, 19
chrome.sessions.getRecentlyClosed, 19
chrome.downloads.open, 19
chrome.downloads.onDeterminingFilename, 19
chrome.browserAction.getPopup, 19
chrome.webNavigation.getAllFrames, 18
chrome.history.deleteAll, 18
chrome.tabs.duplicate, 17
chrome.manifest.version, 17
chrome.manifest.content_scripts, 17
chrome.identity.onSignInChanged, 17
chrome.browsingData.removeHistory, 17
chrome.storage.managed, 16
chrome.browsingData.removeDownloads, 16
chrome.tabCapture.capture, 15
chrome.runtime.error, 15
chrome.history.addUrl, 15
chrome.downloads.show, 15
chrome.browsingData.removeCookies, 15
chrome.browsingData.removeCache, 15
chrome.permissions.getAll, 14
chrome.downloads.setShelfEnabled, 14
chrome.permissions.onAdded, 13
chrome.history.onVisitRemoved, 13
chrome.history.deleteRange, 13
chrome.gcm.unregister, 13
chrome.downloads.removeFile, 13
chrome.browserAction.getTitle, 13
chrome.tabs.getZoom, 12
chrome.runtime.onSuspendCanceled, 12
chrome.privacy.network, 12
chrome.downloads.showDefaultFolder, 12
chrome.d.ts, 12
chrome.contentSettings.javascript, 12
chrome.tts.isSpeaking, 11
